ticket_id,opened_ts,department,product,priority,channel,assignee_level,client_tier,cpu_pct,memory_mb,reopen_count,comments,resolve_hours,sla_breached,is_slow
10077,1739240676,Data,CRM,Low,Phone,Junior,Pro,24.2,3223.0,0,5.0,4.96,1,False
10484,1742484451,DevOps,Cloud,High,Slack,Middle,Free,46.3,2288.0,0,8.0,,1,
11605,1739247461,Backend,CRM,Medium,Phone,Middle,Pro,38.2,2295.0,1,5.0,15.22,0,False
11234,1735696803,DATA,CRM,Low,Email,Middle,Pro,32.4,1928.0,1,2.0,10.0,0,False
10144,1740949005,Support,CRM,Low,Phone,Middle,Free,40.7,4034.0,1,7.0,9.41,0,False
10432,1742606779,DevOps,Auth,Critical,Portal,Middle,Pro,69.4,1821.0,0,3.0,3.62,1,False
11710,1743512579,BACKEND,Auth,Medium,Portal,Middle,Free,37.8,1269.0,2,5.0,3.56,0,False
10481,1745810876,DevOps,Analytics,High,Email,Middle,Enterprise,42.5,1584.0,2,3.0,29.6,1,True
10700,1745769607,Backend,Auth,Low,Email,Middle,Enterprise,50.2,1805.0,3,2.0,3.1,0,False
10860,1746911710,Data,Auth,High,Phone,Middle,Pro,35.6,2347.0,2,5.0,5.45,1,False
11642,1748882533,Backend,Billing,Critical,Portal,Middle,Pro,53.4,1736.0,0,1.0,4.57,1,False
10319,1744603129,Backend,CRM,Low,Portal,Middle,Free,51.8,2330.0,0,2.0,2.67,0,False
11212,1736462459,Support,Cloud,Low,Phone,Senior,Pro,62.5,256.0,2,9.0,1.43,0,False
10987,1737588273,Data,Cloud,Medium,Email,Junior,Free,70.3,3426.0,1,2.0,2.07,0,False
10923,1739916512,DevOps,Auth,Medium,Portal,Middle,Pro,47.2,3850.0,2,6.0,4.57,1,False
10470,1748773504,Support,CRM,Critical,Email,Middle,Enterprise,26.6,2704.0,0,5.0,5.74,1,False
10353,1749142063,Data,Billing,Medium,Portal,Senior,Free,54.2,1700.0,1,7.0,14.85,0,False
10840,1744152588,DEVOPS,Auth,High,Email,Middle,Free,52.0,1420.0,0,4.0,,1,
11750,1745381061,Backend,Cloud,High,Email,Senior,Enterprise,42.8,2003.0,0,7.0,0.86,1,False
11319,1750965971,Backend,Billing,Low,Slack,Senior,Pro,,1712.0,0,5.0,5.2,0,False
10391,1745156517,SUPPORT,Auth,Medium,Slack,Junior,Free,69.8,1467.0,0,5.0,4.67,1,False
10177,1742330975,Backend,CRM,Low,Slack,Junior,Free,76.4,1667.0,1,4.0,4.95,0,False
10677,1738173905,Data,CRM,Low,Email,Middle,Free,,2897.0,0,4.0,10.92,0,False
11504,1750467908,Support,Cloud,Medium,Phone,Middle,Pro,20.9,2392.0,1,,1.85,1,False
10705,1749706968,BACKEND,Cloud,High,Email,Senior,Pro,27.3,1953.0,2,6.0,7.25,1,False
10738,1738311854,Backend,Cloud,Low,Phone,Junior,Enterprise,64.1,1870.0,3,8.0,3.88,0,False
11460,1737409218,Support,Cloud,Low,Phone,Junior,Free,40.9,3245.0,2,11.0,2.27,1,False
11401,1745656494,Support,Auth,Low,Phone,Senior,Free,47.2,2114.0,0,5.0,4.8,0,False
11015,1746972658,Backend,Cloud,Low,Phone,Middle,Pro,51.2,3489.0,0,5.0,16.72,1,False
10377,1747672219,Data,Auth,High,Phone,Junior,Pro,68.8,1636.0,0,9.0,,1,
10424,1736473551,Data,CRM,Low,Slack,Junior,Pro,19.9,2889.0,1,4.0,7.35,1,False
11111,1746632357,Backend,Analytics,Medium,Email,Junior,Pro,81.5,3534.0,0,4.0,,1,
11405,1738580232,Backend,Auth,Low,Slack,Senior,Enterprise,54.5,1178.0,0,5.0,2.73,0,False
10715,1745750253,Backend,Cloud,Medium,Phone,Middle,Pro,18.7,1333.0,1,5.0,3.0,1,False
10510,1736660109,Support,Analytics,Medium,Email,Middle,Free,57.2,1772.0,1,3.0,7.83,0,False
11421,1738924524,Support,Analytics,Low,Phone,Middle,Free,48.8,2224.0,1,6.0,42.96,0,True
10871,1737318939,Support,Analytics,High,Phone,Junior,Free,20.0,3018.0,0,6.0,7.33,0,False
10941,1743249169,DEVOPS,Billing,High,Phone,Junior,Free,63.7,2951.0,2,7.0,10.41,1,False
